Tên cột,Ý nghĩa
Mã dịch vụ,"Thường chính là mã gói cước, có thể là một chuỗi ký tự hoặc số."
Slogan,"Một câu ngắn gọn mô tả về gói cước, có thể biểu hiện phong cách của giới trẻ, khẩu hiệu quảng cáo, hoặc một câu slogan nổi tiếng..."
Thời gian thanh toán,Có thể là Trả trước hoặc Trả sau.
Các dịch vụ tiên quyết,"Các dịch vụ mà người dùng cần phải đăng ký trước khi có thể sử dụng gói cước này. Được biểu hiện dưới dạng một danh sách các mã dịch vụ, cách nhau bởi dấu phẩy."
Giá (VNĐ),"Giá của gói cước, được biểu hiện bằng số tiền cụ thể."
Chu kỳ (ngày),"Thời gian sử dụng của gói cước, được biểu hiện bằng số ngày cụ thể. Sau khi hết thời gian này, gói cước sẽ tự động gia hạn hoặc ngừng hoạt động, xem thông tin ở cột Tự động gia hạn nhé."
4G tốc độ tiêu chuẩn/ngày,"Số lượng dữ liệu 4G tốc độ tiêu chuẩn mà người dùng nhận được mỗi ngày, được biểu hiện bằng số GB. Bạn xem Chú ý 1 bên dưới."
4G tốc độ cao/ngày,"Số lượng dữ liệu 4G tốc độ cao mà người dùng nhận được mỗi ngày, được biểu hiện bằng số GB. Bạn xem Chú ý 1 bên dưới."
4G tốc độ tiêu chuẩn/chu kỳ,"Số lượng dữ liệu 4G tốc độ tiêu chuẩn mà người dùng nhận được trong toàn bộ chu kỳ, được biểu hiện bằng số GB. Bạn xem Chú ý 1 bên dưới."
4G tốc độ cao/chu kỳ,"Số lượng dữ liệu 4G tốc độ cao mà người dùng nhận được trong toàn bộ chu kỳ, được biểu hiện bằng số GB. Bạn xem Chú ý 1 bên dưới."
Dịch vụ miễn phí,"Các dịch vụ đặc biệt mà người dùng được nhận miễn phí, thường là không giới hạn, khi đăng ký gói cước. Chẳng hạn thoải mái, thả ga xem Facebook, TikTok..."
Gọi nội mạng,"Số phút gọi miễn phí cho các cuộc gọi nội mạng, cước phí gọi..."
Gọi ngoại mạng,"Số phút gọi miễn phí cho các cuộc gọi ngoại mạng, cước phí gọi..."
Tin nhắn,"Thông tin cước phí tin nhắn SMS, số tin nhắn miễn phí..."
Chi tiết,"Thông tin thêm về gói cước, thường là các điều khoản và điều kiện sử dụng."
Tự động gia hạn,"Thông tin về việc gói cước có tự động gia hạn hay không sau mỗi chu kỳ sử dụng (xem cột Chu kỳ phía trên), thường là Có hoặc Không."
Cú pháp đăng ký,"Cú pháp SMS mà người dùng cần sử dụng để đăng ký gói cước này, thường có dạng <mã dịch vụ> gửi <số điện thoại>. Ví dụ SD70 DK8 gửi 290 nghĩa là để đăng ký gói này, người dùng cần soạn tin ""SD70 DK8"" và gửi đến số 290."
CHÚ Ý 1,"Nếu dữ liệu theo ngày là số dương thì nghĩa là một ngày người dùng chỉ được dùng tối đa bấy nhiêu dữ liệu mà thôi, sang ngày khác lại được thêm. Còn nếu không có dữ liệu theo ngày thì nghĩa là người dùng được dùng thoải mái toàn bộ dữ liệu trong chu kỳ mà không bị giới hạn theo ngày, cho đến khi hết dữ liệu trong chu kỳ đó thì phải chờ chu kỳ tiếp theo (nếu gia hạn) mới được tiếp tục sử dụng."
